1460 UnitedStates       2014 TV-PG 89  
6353 UnitedStates       2017 TV-14 105 
1053 SouthAfrica        2017 TV-14 87  
8488 France             2012 TV-14 97  
1120 UnitedStates       2008 PG-13 109 
3575 Spain              2018 TV-MA 93  
4252 Portugal           2016 TV-MA 109 
1445 UnitedStates       2014 TV-Y  44  
1527 UnitedStates       2016 TV-14 75  
9352 Indonesia          2020 TV-14 101 
8799 India              2014 TV-14 89  
  94 UnitedStates       2017 TV-MA 90  
3902 UnitedStates       2015 NR    90  
4790 UnitedStates       2014 R     93  
8609 UnitedStates       2016 TV-MA 101 
1923 HongKong           2010 R     113 
 761 UnitedStates       2018 TV-MA 89  
2038 UnitedStates       2016 TV-MA 84  
8410 UnitedStates       2006 PG-13 102 
2117 UnitedStates       2009 PG-13 102 
4208 Italy              2020 TV-MA 114 
7815 Spain              2016 R     130 
2867 UnitedStates       2019 TV-MA 90  
3965 UnitedStates       2018 TV-MA 94  
8787 France             2008 TV-MA 97  
 745 India              2014 TV-PG 143 
7805 UnitedStates       2013 PG-13 91  
  51 SouthKorea         2015 TV-PG 107 
8003 UnitedKingdom      2018 TV-14 95  
6384 UnitedStates       2016 R     119 
8371 UnitedStates       2013 R     93  
2081 UnitedStates       2016 TV-MA 101 
1450 SouthAfrica        2017 R     93  
1409 India              2016 TV-14 140 
7710 SouthKorea         2012 TV-MA 135 
2824 Argentina          2018 TV-MA 82  
5213 UnitedKingdom      2017 TV-MA 70  
9915 UnitedStates       2000 PG-13 104 
  52 UnitedStates       2014 PG-13 117 
2196 UnitedStates       2015 PG-13 92  
4909 Indonesia          2016 TV-PG 124 
5923 India              2009 PG-13 164 
4843 Canada             2018 TV-PG 53  
7178 Germany            2015 TV-MA 93  
1906 Egypt              2016 TV-14 91  
3960 UnitedStates       2011 R     83  
5759 Denmark            1989 TV-14 93  
4857 Poland             2020 TV-MA 114 
 307 Japan              2020 TV-MA 116 
5071 Kenya              2019 TV-14 93  
4108 UnitedStates       2017 TV-MA 81  
8080 Canada             2017 TV-G  84  
5701 Spain              2019 TV-MA 105 
9817 UnitedStates       2015 NR    86  
3375 Nigeria            2019 TV-MA 120 
5684 UnitedStates       2014 PG-13 92  
2860 Italy              2018 TV-14 96  
9393 UnitedStates       2014 R     97  
7489 UnitedStates       2004 PG-13 99  
6636 UnitedStates       2011 R     100 
1209 Romania            2019 TV-14 96  
6008 UnitedStates       2018 TV-MA 75  
8711 NewZealand         2017 R     94  
9065 UnitedStates       2019 R     129 
3951 UnitedStates       2015 TV-MA 80  
5223 India              2014 TV-MA 103 
7422 UnitedStates       2017 R     96  
4276 Spain              2016 TV-MA 77  
2450 Pakistan           2018 TV-PG 137 
6247 India              2011 TV-MA 148 
5525 India              2019 TV-MA 123 
7887 Nigeria            2016 TV-PG 121 
3684 Australia          2011 PG    95  
2011 Mexico             2019 TV-PG 28  
8835 UnitedStates       2020 TV-PG 99  
2579 UnitedStates       2017 R     104 
6136 China              2011 TV-14 122 
8448 India              2016 TV-14 104 
9980 UnitedStates       2016 PG    94  
1459 UnitedStates       1977 PG    176 
5384 UnitedStates       2020 PG-13 107 
5455 UnitedStates       2018 G     90  
4185 Turkey             2016 TV-14 94  
   3 Taiwan             2020 TV-14 101 
9004 Canada             2018 TV-G  87  
 815 UnitedStates       2017 TV-PG 92  
3773 UnitedStates       2019 TV-PG 85  
6722 UnitedStates       2018 TV-PG 93  
2737 France             2016 TV-Y7 22  
7409 UnitedStates       2004 PG    95  
7864 UnitedStates       2019 PG    86  
1386 UnitedKingdom      1971 R     137 
 749 UnitedStates       1993 R     101 
7430 UnitedStates       2014 TV-Y7 68  
7482 UnitedStates       2020 TV-MA 121 
